venue,year,title,authors,pdf_url,source_url
CVPR,2026,$L^{2}DGS$: Low-Light Dynamic Gaussian Splatting,"Ashish Kumar, Rajagopalan N Ambasamduram",https://openaccess.thecvf.com/content/CVPR2026/papers/Kumar_L2DGS_Low-Light_Dynamic_Gaussian_Splatting_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,$\alpha$Matte4K & $\mu$Matting: Dataset and Model for Ultra-Micro Precision Alpha Video Matting,"Xinyi Chen, Hang Dong, Baowei Jiang, Shenkun Xu, Youqi Guan, Kanle Shi, Kun Gai, Haichuan Song",https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_alphaMatte4K__muMatting_Dataset_and_Model_for_Ultra-Micro_Precision_Alpha_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,$\oslash$ Source Models Leak What They Shouldn't $\nrightarrow$: Unlearning Zero-Shot Transfer in Domain Adaptation Through Adversarial Optimization,"Arnav Devalapally, Poornima Jain, Kartik Srinivas, Vineeth N. Balasubramanian",https://openaccess.thecvf.com/content/CVPR2026/papers/Devalapally_oslash_Source_Models_Leak_What_They_Shouldnt_nrightarrow_Unlearning_Zero-Shot_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,$\phi$-DPO: Fairness Direct Preference Optimization Approach to Continual Learning in Large Multimodal Models,"Thanh-Dat Truong, Huu-Thien Tran, Jackson Cothren, Bhiksha Raj, Khoa Luu",https://openaccess.thecvf.com/content/CVPR2026/papers/Truong_phi-DPO_Fairness_Direct_Preference_Optimization_Approach_to_Continual_Learning_in_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,2-Shots in the Dark: Low-Light Denoising with Minimal Data Acquisition,"Liying Lu, Raphael Achddou, Sabine Süsstrunk",https://openaccess.thecvf.com/content/CVPR2026/papers/Lu_2-Shots_in_the_Dark_Low-Light_Denoising_with_Minimal_Data_Acquisition_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,240FPS Stereo Vision from Monocular Mixed Spikes,"Yeliduosi Xiaokaiti, Yakun Chang, Yang Bai, Zhaojun Huang, Peiqi Duan, Boxin Shi",https://openaccess.thecvf.com/content/CVPR2026/papers/Xiaokaiti_240FPS_Stereo_Vision_from_Monocular_Mixed_Spikes_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,2D-LFM: Lifting Foundation Model without 3D Supervision,"Mosam Dabhi, Irhas Gill, László A. Jeni, Simon Lucey",https://openaccess.thecvf.com/content/CVPR2026/papers/Dabhi_2D-LFM_Lifting_Foundation_Model_without_3D_Supervision_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,2ndMatch: Finetuning Pruned Diffusion Models via Second-Order Jacobian Matching,"Caleb Zheng, Eli Shlizerman",https://openaccess.thecvf.com/content/CVPR2026/papers/Zheng_2ndMatch_Finetuning_Pruned_Diffusion_Models_via_Second-Order_Jacobian_Matching_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,3D Gaussian Splatting at Arbitrary Resolutions with Compact Proxy Anchors,"Mingyun Jeong, Seongro Yoon, Francois Bremond, Donghyeon Cho",https://openaccess.thecvf.com/content/CVPR2026/papers/Jeong_3D_Gaussian_Splatting_at_Arbitrary_Resolutions_with_Compact_Proxy_Anchors_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,3D Gaussian Splatting from Unposed Spike Stream,"Yijia Guo, Tong Hu, Liwen Hu, Lei Ma, Tiejun Huang",https://openaccess.thecvf.com/content/CVPR2026/papers/Guo_3D_Gaussian_Splatting_from_Unposed_Spike_Stream_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,3D Gaussian Splatting with Self-Constrained Priors for High Fidelity Surface Reconstruction,"Takeshi Noda, Yu-Shen Liu, Zhizhong Han",https://openaccess.thecvf.com/content/CVPR2026/papers/Noda_3D_Gaussian_Splatting_with_Self-Constrained_Priors_for_High_Fidelity_Surface_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,3D Space as a Scratchpad for Editable Text-to-Image Generation,"Oindrila Saha, Vojtech Krs, Radomir Mech, Subhransu Maji, Matheus Gadelha, Kevin Blackburn-Matzen",https://openaccess.thecvf.com/content/CVPR2026/papers/Saha_3D_Space_as_a_Scratchpad_for_Editable_Text-to-Image_Generation_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,3D sans 3D Scans: Scalable Pre-training from Video-Generated Point Clouds,"Ryousuke Yamada, Kohsuke Ide, Yoshihiro Fukuhara, Hirokatsu Kataoka, Gilles Puy, Andrei Bursuc, Yuki M. Asano",https://openaccess.thecvf.com/content/CVPR2026/papers/Yamada_3D_sans_3D_Scans_Scalable_Pre-training_from_Video-Generated_Point_Clouds_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,3D-Aware Implicit Motion Control for View-Adaptive Human Video Generation,"Zhixue Fang, Xu He, Songlin Tang, Haoxian Zhang, Qingfeng Li, Xiaoqiang Liu, Pengfei Wan, Kun Gai",https://openaccess.thecvf.com/content/CVPR2026/papers/Fang_3D-Aware_Implicit_Motion_Control_for_View-Adaptive_Human_Video_Generation_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,3D-Aware Multi-Task Learning with Cross-View Correlations for Dense Scene Understanding,"Xiaoye Wang, Chen Tang, Xiangyu Yue, Wei-Hong Li",https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_3D-Aware_Multi-Task_Learning_with_Cross-View_Correlations_for_Dense_Scene_Understanding_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,3D-Fixer: Coarse-to-Fine In-place Completion for 3D Scenes from a Single Image,"Ze-Xin Yin, Liu Liu, Xinjie Wang, Wei Sui, Zhizhong Su, Jian Yang, Jin Xie",https://openaccess.thecvf.com/content/CVPR2026/papers/Yin_3D-Fixer_Coarse-to-Fine_In-place_Completion_for_3D_Scenes_from_a_Single_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,3D-IDE: 3D Implicit Depth Emergent,"Chushan Zhang, Ruihan Lu, Jinguang Tong, Yikai Wang, Hongdong Li",https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_3D-IDE_3D_Implicit_Depth_Emergent_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,3D-LATTE: Latent Space 3D Editing from Textual Instructions,"Maria Parelli, Michael Oechsle, Michael Niemeyer, Federico Tombari, Andreas Geiger",https://openaccess.thecvf.com/content/CVPR2026/papers/Parelli_3D-LATTE_Latent_Space_3D_Editing_from_Textual_Instructions_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
